[253,213,208,
253,149,163,
237,226,237,
220,166,164,
207,194,201,
178,189,234,
188,181,222,
195,215,230,
165,228,212,
168,235,173,
208,251,178,
237,254,217,
229,226,114,
236,191,125,
252,249,153,
250,221,182,
253,230,211,
204,184,170,
255,253,249,
210,210,202,
248,180,173,
246,104,121,
248,187,200,
218,158,166,
175,152,160,
122,126,197,
129,120,169,
177,208,223,
114,208,183,
191,246,224,
209,237,164,
226,237,181,
217,213,109,
206,150,87,
253,233,73,
253,190,142,
247,201,176,
173,153,148,
255,247,231,
144,142,133,
236,136,128,
244,71,83,
220,124,134,
188,117,127,
134,106,118,
96,107,173,
96,86,139,
148,183,203,
13,178,148,
111,218,138,
164,214,124,
205,217,154,
210,180,104,
176,123,70,
252,205,45,
249,135,86,
232,172,155,
136,119,115,
232,223,199,
162,155,134,
217,93,93,
238,50,70,
181,69,93,
149,86,92,
113,83,93,
181,199,233,
233,244,250,
80,129,156,
7,161,132,
85,202,125,
136,197,58,
225,244,119,
185,153,86,
167,103,29,
245,188,19,
244,100,64,
233,159,131,
172,133,131,
196,190,166,
132,130,116,
190,68,74,
254,222,221,
135,42,67,
125,66,70,
233,236,252,
145,159,213,
212,227,239,
70,114,147,
97,187,132,
54,178,107,
99,179,48,
204,201,89,
156,114,48,
247,209,105,
252,246,182,
200,58,36,
210,112,92,
137,99,98,
149,141,121,
190,184,172,
171,27,51,
253,153,175,
121,38,59,
103,42,51,
125,78,146,
107,127,192,
217,234,242,
33,98,133,
0,154,119,
16,146,86,
55,145,48,
173,194,56,
124,95,32,
235,187,82,
253,233,139,
254,163,112,
190,92,75,
83,51,45,
129,120,104,
167,166,159,
253,180,161,
247,86,109,
251,172,196,
101,19,41,
103,64,118,
78,92,167,
173,205,231,
6,80,106,
32,139,70,
16,129,78,
33,124,54,
131,138,41,
110,80,29,
219,165,62,
253,219,99,
221,110,76,
169,65,56,
85,32,20,
98,82,76,
107,104,96,
247,131,114,
253,160,174,
247,147,178,
197,151,185,
208,197,236,
43,50,136,
129,165,216,
0,42,100,
98,216,182,
16,107,67,
7,108,52,
53,95,11,
100,72,12,
227,167,48,
249,193,91,
192,87,61,
151,56,43,
246,239,218,
80,64,59,
93,93,84,
187,104,100,
237,98,91,
253,110,112,
251,75,124,
146,77,120,
163,154,215,
39,34,118,
96,133,184,
206,233,234,
66,181,158,
0,93,46,
7,91,38,
149,159,122,
250,242,213,
242,174,63,
251,159,17,
171,72,54,
146,47,37,
242,222,185,
73,72,66,
255,255,255,
186,228,182,
222,63,64,
242,73,79,
214,63,104,
106,34,88,
133,119,180,
21,18,100,
58,96,157,
75,138,161,
11,134,115,
205,239,166,
157,199,45,
153,157,117,
242,220,159,
208,136,61,
254,235,165,
155,55,27,
242,171,149,
226,183,131,
219,199,173,
252,252,255,
90,60,45,
198,44,56,
253,204,209,
198,42,83,
75,35,58,
153,109,195,
202,231,240,
31,50,121,
85,139,158,
19,95,85,
127,198,109,
108,158,41,
120,126,92,
201,154,103,
178,105,35,
254,232,141,
136,54,48,
186,122,108,
218,162,111,
182,157,128,
187,22,48,
252,175,185,
191,28,72,
224,215,238,
151,116,182,
164,193,222,
32,39,84,
23,94,120,
148,210,138,
96,140,89,
70,121,36,
76,76,30,
170,124,67,
148,80,38,
253,215,105,
254,241,216,
128,58,50,
199,133,89,
157,136,104,
209,208,210,
75,75,73,
161,12,57,
235,113,131,
241,90,145,
218,210,233,
132,74,181,
127,160,198,
12,39,94,
168,226,229,
149,228,175,
68,107,69,
56,99,36,
174,167,142,
133,90,48,
254,245,205,
253,174,60,
246,193,154,
106,47,38,
169,101,56,
109,90,75,
184,185,189,
234,139,150,
222,88,108,
223,60,115,
207,200,222,
110,46,155,
80,117,167,
0,11,68,
151,216,211,
110,211,154,
58,85,59,
209,222,117,
128,139,110,
120,76,40,
253,223,160,
252,139,16,
239,158,116,
247,175,147,
143,83,50,
89,63,43,
153,155,157,
227,99,112,
186,32,68,
206,43,99,
229,189,237,
109,84,211,
52,88,143,
9,9,47,
82,173,171,
59,140,90,
50,66,51,
158,179,87,
56,69,38,
185,159,114,
247,201,95,
253,111,26,
201,100,68,
215,153,130,
115,66,30,
227,204,190,
118,110,114,
148,66,167,
193,43,82,
252,235,222,
246,176,223,
212,159,225,
88,52,163,
40,71,121,
217,230,236,
45,141,152,
51,131,98,
114,129,62,
187,156,84,
166,136,94,
251,172,86,
251,103,33,
170,82,55,
188,96,78,
96,57,29,
220,198,184,
239,238,240,
155,0,66,
249,151,156,
236,129,190,
186,114,198,
77,46,138,
73,168,235,
186,201,204,
19,106,117,
129,198,164,
113,167,78,
91,101,51,
167,138,68,
124,95,70,
239,129,37,
252,79,22,
129,55,24,
243,207,180,
83,47,27,
197,196,201,
228,53,61,
234,107,120,
217,76,157,
181,184,234,
40,163,222,
147,160,175,
3,83,92,
96,147,122,
102,146,74,
67,79,44,
114,92,12,
107,80,57,
234,166,100,
237,65,21,
108,49,22,
229,172,141,
69,39,26,
157,125,113,
176,176,181,
206,27,51,
214,61,87,
203,32,137,
138,42,143,
160,178,215,
0,97,176,
102,118,132,
192,198,192,
85,122,96,
67,104,56,
63,66,39,
99,82,11,
234,216,171,
236,143,67,
198,49,23,
248,217,205,
186,112,86,
54,34,14,
240,230,215,
156,155,157,
189,17,54,
172,28,55,
172,16,113,
94,15,119,
124,130,181,
94,204,236,
73,92,107,
159,168,165,
67,114,89,
46,82,48,
56,58,42,
175,169,123,
206,176,116,
207,117,50,
255,194,172,
226,165,152,
183,113,89,
234,208,181,
203,176,148,
151,11,44,
255,203,215,
149,8,90,
234,197,235,
75,89,158,
43,173,209,
29,69,82,
97,118,116,
40,94,72,
215,239,167,
